rank,name,pos,posrank,team,round12,confidence,sleeper,cost,note,case
70,Lamar Jackson,QB,QB3,BAL,Rd 6,High,,,"Coming off a subpar, injury-marred year with steep declines in both passing and rushing.",
71,Rico Dowdle,RB,RB29,PIT,Rd 6,High,,,,
72,DK Metcalf,WR,WR32,PIT,Rd 6,High,,,"Being drafted on name recognition. Right player, wrong offense.",
73,Parker Washington,WR,WR33,JAX,Rd 7,High,repriced,ADP 88.4 Yahoo / 102.7 ESPN,From Week 12 on he led Jacksonville at a 25% target share and 14.2 PPR PPG; over the final four games that hit 31% and 18.5.,"From Week 12 on he led all Jacksonville receivers with a 25% target share and 14.2 PPR points per game. Over the final four games, playoffs included, that became a 31% target share and 18.5 per game on a 26-454-3 line. He is being drafted as though that stretch did not happen."
74,Luther Burden III,WR,WR34,CHI,Rd 7,High,,,,
75,Tony Pollard,RB,RB30,TEN,Rd 7,High,,,,
76,Alec Pierce,WR,WR35,IND,Rd 7,High,,,,
77,Mike Evans,WR,WR36,SF,Rd 7,High,,,,
78,Drake Maye,QB,QB4,NE,Rd 7,High,,,Only Josh Allen outscored him among QBs in 2025 - and now he has A.J. Brown.,
79,Kenny Gainwell,RB,RB31,TB,Rd 7,High,repriced,RB31,,The exact reason Bucky Irving's price fell is the reason Gainwell has standalone value. Tampa is running a real committee and only one half of it is being drafted.
80,Christian Watson,WR,WR37,GB,Rd 7,High,,,,
81,Matthew Golden,WR,WR38,GB,Rd 7,High,,,,
82,Jonathon Brooks,RB,RB32,CAR,Rd 7,High,post-hype,ADP ~125 · RB29,"Missed all of 2025 recovering from a second ACL tear. Carolina let Rico Dowdle walk and ignored RB in the draft, which is a real vote of confidence. ADP ~125.","A second ACL tear cost him all of 2025, so the market moved on. Carolina did the opposite: they let Rico Dowdle walk and ignored running back entirely in the draft. Dave Canales says he “looks like the guy that I remember.” He climbed nine spots on the 8/25 update and still costs a bench pick for a three-down RB1 outcome."
83,Michael Wilson,WR,WR39,ARI,Rd 7,High,post-hype,Value past pick 100,"2025 was top-heavy - the big games came when Marvin Harrison was out. Fine at WR4 cost, not above it.",Jumped nearly eight spots after the first preseason game and is still cheap. The knock is fair — 2025 was top-heavy in the games Marvin Harrison missed. The counter is that Arizona's target tree is still thin behind Harrison.
84,Brian Thomas Jr.,WR,WR40,JAX,Rd 7,High,,,,
85,Chuba Hubbard,RB,RB33,CAR,Rd 8,High,,,,
86,Jakobi Meyers,WR,WR41,JAX,Rd 8,High,,,,
87,George Kittle,TE,TE9,SF,Rd 8,High,,,"Opened camp on PUP with the Achilles he tore in the 2025 playoffs. Reports point to Week 1, but nothing is guaranteed.",
88,Jalen Hurts,QB,QB5,PHI,Rd 8,High,,,,
89,Wan'Dale Robinson,WR,WR42,TEN,Rd 8,High,,,,
90,Jordan Addison,WR,WR43,MIN,Rd 8,High,,,,
91,J.K. Dobbins,RB,RB34,DEN,Rd 8,High,,,,
92,Jordan Mason,RB,RB35,MIN,Rd 8,High,,,Biggest RB mover on the 8/25 update - up 16 spots to RB36.,
93,Khalil Shakir,WR,WR44,BUF,Rd 8,High,,,,
94,Jayden Reed,WR,WR45,GB,Rd 8,High,buried,WR45,,"Green Bay's slot receiver in a room where the market is busy arguing about Golden and Watson. Availability is the real question, not talent."
95,Kyle Monangai,RB,RB36,CHI,Rd 8,High,,,"Forced his way into a committee as a seventh-round rookie: 41% of Chicago's snaps, 4.6 YPC on 169 carries.",
96,Xavier Worthy,WR,WR46,KC,Rd 8,High,post-hype,WR46,Kansas City moved on from Marquise Brown and Smith-Schuster and added only a fifth-rounder. They still trust him as a starter.,"Kansas City moved on from Marquise Brown and Smith-Schuster and replaced them with a fifth-round rookie. That is a roster telling you who it trusts. Third year, fastest man out of the 2024 class, and the last starter standing."
97,Jake Ferguson,TE,TE10,DAL,Rd 9,High,,,,
98,Jacory Croskey-Merritt,RB,RB37,WAS,Rd 9,High,,,,
99,Rachaad White,RB,RB38,WAS,Rd 9,High,,,,
100,Dallas Goedert,TE,TE11,PHI,Rd 9,High,,,,
101,Joe Burrow,QB,QB6,CIN,Rd 9,High,,,"Held around QB4 despite the ceiling, purely on durability.",
102,Aaron Jones Sr.,RB,RB39,MIN,Rd 9,High,,,,
103,Blake Corum,RB,RB40,LAR,Rd 9,High,,,"The consensus No. 1 backup RB. 782 scrimmage yards and six TDs in year two, with the Rams' split projected near 60/40.",
104,Quentin Johnston,WR,WR47,LAC,Rd 9,High,,,,
105,Deebo Samuel,WR,WR48,SF,Rd 9,High,,,"Back in Shanahan's system and three years younger than Mike Evans. Unsexy, but he'll start and score.",
106,RJ Harvey,RB,RB41,DEN,Rd 9,High,,,,
107,Josh Downs,WR,WR49,IND,Rd 9,High,repriced,WR43,"Moving up from the slot to Indy's No. 2, working underneath opposite Tyler Warren.","Moving out of the slot into Indianapolis's No. 2 job. That makes him Daniel Jones' primary underneath target working opposite Tyler Warren, which is a volume role at a WR4 price."
108,Travis Kelce,TE,TE12,KC,Rd 9,High,,,"Back at 37 on a one-year deal. 76-851 on 108 targets last year - volume intact, but 13 total TDs across three seasons is a career low.",
109,Jaxson Dart,QB,QB7,NYG,Rd 10,High,,,,
110,Isiah Pacheco,RB,RB42,KC,Rd 10,High,,,,
111,Jalen Nailor,WR,WR50,LV,Rd 10,High,buried,WR67 — going very late,"Vegas's big offseason signing and their camp WR1, though Brock Bowers will lead that team in receiving.","Las Vegas's big offseason signing and their camp WR1. Brock Bowers will lead that team in receiving, but Nailor is the receiver to own there and he costs a WR5 pick."
112,Tyrone Tracy Jr.,RB,RB43,NYG,Rd 10,High,runway,RB50,Averaged 16.9 touches and 12.9 PPR points across the 10 games Skattebo wasn't the clear lead back.,Averaged 16.9 touches and 12.9 PPR points across the 10 games Cam Skattebo was not the clear lead back. Skattebo is coming back from a major injury. This is the cheapest handcuff with a starter's outcome attached.
113,Marquise Brown,WR,WR51,PHI,Rd 10,High,,,,
114,Trevor Lawrence,QB,QB8,JAX,Rd 10,High,,,,
115,Tyler Allgeier,RB,RB44,ATL,Rd 10,High,,,,
116,Dalton Kincaid,TE,TE13,BUF,Rd 10,High,,,Fantasy's biggest TE wild card. An efficiency darling on a 38% snap share while Buffalo managed a knee issue.,
117,Dylan Sampson,RB,RB45,CLE,Rd 10,High,,,,
118,Keenan Allen,WR,WR52,IND,Rd 10,High,,,,
119,Rashid Shaheed,WR,WR53,SEA,Rd 10,High,buried,WR56-ish,Was breaking out in New Orleans before the trade to Seattle. Should be Darnold's No. 2 and the deep threat opposite JSN.,"Was breaking out in New Orleans before the midseason trade to Seattle. Now he is Sam Darnold's No. 2 and the deep threat working opposite Smith-Njigba, and he is being drafted like a change-of-pace piece."
120,Braelon Allen,RB,RB46,NYJ,Rd 10,High,,,,
121,Dak Prescott,QB,QB9,DAL,Rd 11,High,,,,
122,T.J. Hockenson,TE,TE14,MIN,Rd 11,High,,,"A 16% target share and 51-438-3, then a shoulder injury. Kyler Murray should help, but show me first.",
123,Caleb Douglas,WR,WR54,MIA,Rd 11,High,,,,
124,Jordyn Tyson,WR,WR55,NO,Rd 11,High,,,,
125,Adonai Mitchell,WR,WR56,NYJ,Rd 11,High,buried,WR55-ish,Set to start opposite Garrett Wilson for a team that will play from behind a lot. A popular late-round favorite.,Set to start opposite Garrett Wilson for a team that will be playing from behind most weeks. Third-year receivers with a defined starting job and negative game script are how late-round WR rooms get won.
126,Tank Bigsby,RB,RB47,PHI,Rd 11,High,runway,RB47,"The Saquon handcuff, full stop.",Not a sleeper if Saquon plays 17 games. The full Barkley workload is one of maybe three handcuff outcomes in football that wins a league outright.
127,Tank Dell,WR,WR57,HOU,Rd 11,High,,,,
128,Jerry Jeudy,WR,WR58,CLE,Rd 11,High,,,,
129,Bo Nix,QB,QB10,DEN,Rd 11,High,,,,
130,Malik Washington,WR,WR59,MIA,Rd 11,High,,,,
131,Jalen McMillan,WR,WR60,TB,Rd 11,High,,,,
132,Mason Taylor,TE,TE15,NYJ,Rd 11,High,year-two,TE14-ish,,"Led the Jets in both catches and targets as a rookie despite playing 13 games. Aaron Glenn named him a breakout candidate in mid-August, which is usually a coach telling you the target share is going up."
133,Calvin Ridley,WR,WR61,TEN,Rd 12,High,,,,
134,KC Concepcion,WR,WR62,CLE,Rd 12,High,,,24th overall to Cleveland under new HC Todd Monken. Roughly 100 targets would have been a top-30 fantasy WR season last year.,
135,Jaylin Noel,WR,WR63,HOU,Rd 12,High,,,,
136,Brock Purdy,QB,QB11,SF,Rd 12,High,,,,
137,Travis Hunter,WR,WR64,JAX,Rd 12,High,,,Target hierarchy in Jacksonville is genuinely unsettled with Brian Thomas Jr. healthy. Priced as a WR5 lottery ticket.,
138,Nick Singleton,RB,RB48,TEN,Rd 12,High,free,Last round,,One of the best late stashes on the board — the talent and the opening to become a difference-maker in exactly the weeks the fantasy playoffs happen.
139,Brenton Strange,TE,TE16,JAX,Rd 12,High,,,,
140,Ja'Kobi Lane,WR,WR65,BAL,Rd 12,High,,,,
141,Rashod Bateman,WR,WR66,BAL,Rd 12,High,post-hype,Late-round / waiver,,"Five years of waiting has trained everyone to stop looking. He is still the perimeter starter on an offense that scores, and the cost is now nothing."
142,Matthew Stafford,QB,QB12,LAR,Rd 12,High,,,,
143,Devaughn Vele,WR,WR67,NO,Rd 12,High,,,,
144,Jonah Coleman,RB,RB49,DEN,Rd 12,High,runway,Late-round,,"Sits behind J.K. Dobbins and R.J. Harvey in Denver, and Dobbins' health is a perpetual red flag. Touchdown-dependent as an RB3, but he could lead that team in rushing scores."
145,Kayshon Boutte,WR,WR68,NE,Rd 13,High,,,,
146,Zachariah Branch,WR,WR69,ATL,Rd 13,High,,,,
147,De'Zhaun Stribling,WR,WR70,SF,Rd 13,High,runway,Up ~27 spots to ~pick 100,"Rookie second-rounder, sixth WR off the board. Ricky Pearsall's season-ending knee surgery opened the door and Stribling has been San Francisco's best camp receiver.","The single biggest riser on the board over the last week, and it still may not be enough. Ricky Pearsall's season-ending knee surgery cleared the room and Stribling — a second-round rookie, sixth receiver drafted — has been San Francisco's best camp receiver."
148,David Njoku,TE,TE17,LAC,Rd 13,High,,,Signed with the Chargers after Fannin pushed him down Cleveland's chart.,
149,Caleb Williams,QB,QB13,CHI,Rd 13,High,,,Tied for eighth among QBs in fantasy points per game last season.,
150,Jayden Higgins,WR,WR71,HOU,Rd 13,High,,,"Conflicting August reporting - one outlet removed him for a torn ACL, others had him as C.J. Stroud's clear No. 2. Verify status before you draft him.",
151,Kyler Murray,QB,QB14,MIN,Rd 13,Medium,,,"Released by Arizona, signed a one-year deal in Minnesota.",
152,Jalen Coker,WR,WR72,CAR,Rd 13,Medium,free,Last round / undrafted,,"An undrafted free agent who built a genuine connection with Bryce Young. Large frame, hard worker, and a third-year breakout is live if Carolina's passing game takes any step at all."
153,Emmett Johnson,RB,RB50,KC,Rd 13,Medium,free,Undrafted,,"The rookie behind Kenneth Walker III in an offense that just paid $43M for its backfield. Handcuff logic, zero cost."
154,Isaac TeSlaa,WR,WR73,DET,Rd 13,Medium,buried,Waiver-adjacent,,Locked in as Detroit's No. 3 and a genuine red-zone body on one of the league's best offenses. One step forward makes him relevant.
155,Sean Tucker,RB,RB51,TB,Rd 13,Medium,,,,
156,Jauan Jennings,WR,WR74,MIN,Rd 13,Medium,,,,
157,Tyler Shough,QB,QB15,NO,Rd 14,Medium,year-two,QB17,,"Strong down the stretch as a rookie, and New Orleans spent the offseason propping the offense up around him — Travis Etienne in, Jordyn Tyson drafted eighth overall. Projection models keep flagging him as a steal."
158,Isaiah Likely,TE,TE18,BAL,Rd 14,Medium,,,,
159,Trey Benson,RB,RB52,ARI,Rd 14,Medium,,,,
160,Omar Cooper Jr.,WR,WR75,NYJ,Rd 14,Medium,,,,
161,Makai Lemon,WR,WR76,PHI,Rd 14,Medium,,,,
162,Zach Charbonnet,RB,RB53,SEA,Rd 14,Medium,,,,
163,Oronde Gadsden II,TE,TE19,LAC,Rd 14,Medium,,,Year-two path got crowded fast - the Chargers added both David Njoku and Charlie Kolar.,
164,Denzel Boston,WR,WR77,CLE,Rd 14,Medium,,,,
165,Jared Goff,QB,QB16,DET,Rd 14,Medium,,,,
166,Woody Marks,RB,RB54,HOU,Rd 14,Medium,,,,
167,Keon Coleman,WR,WR78,BUF,Rd 14,Medium,,,,
168,Hunter Henry,TE,TE20,NE,Rd 14,Medium,,,,
169,Ray Davis,RB,RB55,BUF,Rd 15,Medium,,,,
170,Marvin Mims Jr.,WR,WR79,DEN,Rd 15,Medium,,,,
171,Isaac Guerendo,RB,RB56,SF,Rd 15,Medium,,,,
172,Elijah Moore,WR,WR80,PHI,Rd 15,Medium,,,,
173,Zach Ertz,TE,TE21,WAS,Rd 15,Medium,,,,
174,Daniel Jones,QB,QB17,IND,Rd 15,Medium,,,,
175,Tre Tucker,WR,WR81,LV,Rd 15,Medium,,,,
176,Kaleb Johnson,RB,RB57,PIT,Rd 15,Medium,,,,
177,Cyrus Allen,WR,WR82,KC,Rd 15,Medium,free,Last round / undrafted,,A fifth-round rookie turning heads in Kansas City camp with a path to real Patrick Mahomes targets. There is no cost to being wrong here.
178,Pat Freiermuth,TE,TE22,PIT,Rd 15,Medium,,,,
179,Roschon Johnson,RB,RB58,CHI,Rd 15,Medium,,,,
180,Tory Horton,WR,WR83,SEA,Rd 15,Medium,,,,
181,Justin Herbert,QB,QB18,LAC,Rd 16,Medium,,,,
182,Tyjae Spears,RB,RB59,TEN,Rd 16,Medium,,,,
183,Dalton Schultz,TE,TE23,HOU,Rd 16,Medium,,,,
184,Troy Franklin,WR,WR84,DEN,Rd 16,Medium,,,,
185,Jaydon Blue,RB,RB60,DAL,Rd 16,Medium,,,,
186,Darnell Mooney,WR,WR85,ATL,Rd 16,Medium,,,,
187,Kenyon Sadiq,TE,TE24,NYJ,Rd 16,Medium,,,,
188,Devin Neal,RB,RB61,NO,Rd 16,Medium,,,,
189,Xavier Legette,WR,WR86,CAR,Rd 16,Medium,,,,
190,Patrick Mahomes,QB,QB19,KC,Rd 16,Medium,,,"Coming off December knee surgery. Says the knee feels great and hasn't missed a camp practice, but it has been years since he was a fantasy superstar.",
191,Christian Kirk,WR,WR87,HOU,Rd 16,Medium,,,,
192,Ollie Gordon II,RB,RB62,MIA,Rd 16,Medium,,,,
193,Gunnar Helm,TE,TE25,TEN,Rd 17,Medium,year-two,TE28 — essentially free,,"As a rookie he posted a 22.4% target-per-route-run rate and 1.45 yards per route, both better than Chig Okonkwo, on an 80% catch rate. Cam Ward gets more comfortable in year two and Helm becomes the security blanket. You can take him with your last pick."
194,Dontayvion Wicks,WR,WR88,PHI,Rd 17,Medium,,,,
195,Will Shipley,RB,RB63,PHI,Rd 17,Medium,,,,
196,Jalen Royals,WR,WR89,KC,Rd 17,Medium,,,,
197,Baker Mayfield,QB,QB20,TB,Rd 17,Medium,free,Rounds 12-13,,"Routinely available in the 12th or 13th round. If you punt quarterback entirely, this is where you land and it is a fine place to land."
198,Jarquez Hunter,RB,RB64,LAR,Rd 17,Medium,,,,
199,Terrance Ferguson,TE,TE26,LAR,Rd 17,Medium,year-two,TE20s,,"The buzziest name in Rams camp all summer, getting extended first-team reps from Sean McVay. Only 25 targets as a rookie but 21 yards per catch, and the Rams are visibly expanding his route tree."
200,Roman Wilson,WR,WR90,PIT,Rd 17,Medium,,,,
201,Kimani Vidal,RB,RB65,LAC,Rd 17,Medium,,,,
202,Chimere Dike,WR,WR91,TEN,Rd 17,Medium,,,,
203,A.J. Barner,TE,TE27,SEA,Rd 17,Medium,,,,
204,Elic Ayomanor,WR,WR92,TEN,Rd 17,Medium,,,,
205,Jordan Love,QB,QB21,GB,Rd 18,Medium,,,,
206,Justice Hill,RB,RB66,BAL,Rd 18,Medium,,,,
207,Andrei Iosivas,WR,WR93,CIN,Rd 18,Medium,,,,
208,Samaje Perine,RB,RB67,CIN,Rd 18,Medium,,,,
209,Greg Dulcich,TE,TE28,MIA,Rd 18,Medium,free,Undrafted,,In position to step forward as a second primary target in Miami. A late-round tight end with a defined role beats a late-round tight end without one.
210,Luke McCaffrey,WR,WR94,WAS,Rd 18,Medium,,,,
211,Jerome Ford,RB,RB68,CLE,Rd 18,Medium,,,,
212,Jack Bech,WR,WR95,LV,Rd 18,Medium,,,,
213,Malik Willis,QB,QB22,MIA,Rd 18,Medium,,,,
214,Cade Otton,TE,TE29,TB,Rd 18,Medium,,,,
215,Trevor Etienne,RB,RB69,CAR,Rd 18,Medium,,,,
216,Ryan Flournoy,WR,WR96,DAL,Rd 18,Medium,,,,
217,Savion Williams,WR,WR97,GB,Deep / waiver,Medium,,,,
218,Sincere McCormick,RB,RB70,LV,Deep / waiver,Medium,,,,
219,Evan Engram,TE,TE30,DEN,Deep / waiver,Medium,,,,
220,Darius Slayton,WR,WR98,NYG,Deep / waiver,Medium,,,,
221,C.J. Stroud,QB,QB23,HOU,Deep / waiver,Medium,,,,
222,Antonio Gibson,RB,RB71,NE,Deep / waiver,Medium,,,,
223,Josh Palmer,WR,WR99,BUF,Deep / waiver,Medium,,,,
224,Theo Johnson,TE,TE31,NYG,Deep / waiver,Medium,,,,
225,Kareem Hunt,RB,RB72,KC,Deep / waiver,Medium,,,,
226,Tre Harris,WR,WR100,LAC,Deep / waiver,Medium,,,,
227,Jaleel McLaughlin,RB,RB73,DEN,Deep / waiver,Medium,,,,
228,Dyami Brown,WR,WR101,JAX,Deep / waiver,Medium,,,,
229,Sam Darnold,QB,QB24,SEA,Deep / waiver,Medium,,,,
230,Cole Kmet,TE,TE32,CHI,Deep / waiver,Medium,,,,
231,Kyle Williams,WR,WR102,NE,Deep / waiver,Medium,,,,
232,Tyler Goodson,RB,RB74,IND,Deep / waiver,Medium,,,,
233,Jalen Tolbert,WR,WR103,DAL,Deep / waiver,Medium,,,,
234,Michael Mayer,TE,TE33,LV,Deep / waiver,Medium,,,,
235,Emanuel Wilson,RB,RB75,GB,Deep / waiver,Medium,,,,
236,Calvin Austin III,WR,WR104,PIT,Deep / waiver,Medium,,,,
237,Bryce Young,QB,QB25,CAR,Deep / waiver,Medium,,,,
238,Craig Reynolds,RB,RB76,DET,Deep / waiver,Medium,,,,
239,Xavier Hutchinson,WR,WR105,HOU,Deep / waiver,Medium,,,,
240,Mike Gesicki,TE,TE34,CIN,Deep / waiver,Medium,,,,
241,Chris Rodriguez Jr.,RB,RB77,WAS,Deep / waiver,Medium,,,,
242,Anthony Gould,WR,WR106,IND,Deep / waiver,Medium,,,,
243,DeeJay Dallas,RB,RB78,ARI,Deep / waiver,Medium,,,,
244,Cam Ward,QB,QB26,TEN,Deep / waiver,Medium,,,Real QB2 upside after Tennessee added Carnell Tate and put Brian Daboll in charge of the offense.,
245,Beaux Collins,WR,WR107,NYJ,Deep / waiver,Medium,,,,
246,Elijah Arroyo,TE,TE35,SEA,Deep / waiver,Medium,,,,
247,Tez Johnson,WR,WR108,TB,Deep / waiver,Medium,,,,
248,Kendre Miller,RB,RB79,NO,Deep / waiver,Medium,,,,
249,Juwan Johnson,TE,TE36,NO,Deep / waiver,Medium,,,,
250,Pat Bryant,WR,WR109,DEN,Deep / waiver,Medium,,,,
251,Jaylen Wright,RB,RB80,MIA,Deep / waiver,Medium,,,,
252,Geno Smith,QB,QB27,NYJ,Deep / waiver,Medium,,,,
253,Dont'e Thornton Jr.,WR,WR110,LV,Deep / waiver,Medium,,,,
254,Keaton Mitchell,RB,RB81,BAL,Deep / waiver,Medium,,,,
255,Ben Sinnott,TE,TE37,WAS,Deep / waiver,Medium,,,,
256,Jacob Cowing,WR,WR111,SF,Deep / waiver,Medium,,,,
257,Tahj Brooks,RB,RB82,CIN,Deep / waiver,Medium,,,,
258,Olamide Zaccheaus,WR,WR112,CHI,Deep / waiver,Medium,,,,
259,Charlie Kolar,TE,TE38,LAC,Deep / waiver,Medium,,,,
260,Aaron Rodgers,QB,QB28,PIT,Deep / waiver,Medium,,,Locked in as Pittsburgh's QB1 - their first repeat Week 1 starter since 2020-21.,
261,Jaylin Lane,WR,WR113,WAS,Deep / waiver,Medium,,,,
